Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:36 Mem:186.23M (Peak 186.23M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_41
Fra:36 Mem:187.10M (Peak 187.10M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_42
Fra:36 Mem:187.98M (Peak 187.98M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_43
Fra:36 Mem:188.86M (Peak 188.86M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_44
Fra:36 Mem:189.74M (Peak 189.74M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_45
Fra:36 Mem:190.62M (Peak 190.62M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_46
Fra:36 Mem:191.51M (Peak 191.51M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_47
Fra:36 Mem:192.37M (Peak 192.37M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_48
Fra:36 Mem:193.25M (Peak 193.25M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_49
Fra:36 Mem:194.13M (Peak 194.13M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_50
Fra:36 Mem:195.01M (Peak 195.01M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_51
Fra:36 Mem:195.89M (Peak 195.89M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_52
Fra:36 Mem:196.76M (Peak 196.76M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_53
