Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:590 Mem:197.66M (Peak 197.66M) | Time:00:00.63 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_53
Fra:590 Mem:198.24M (Peak 198.24M) | Time:00:00.63 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_54
Fra:590 Mem:198.82M (Peak 198.82M) | Time:00:00.63 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_55
Fra:590 Mem:200.29M (Peak 200.29M) | Time:00:00.65 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_56
Fra:590 Mem:200.88M (Peak 200.88M) | Time:00:00.65 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_57
Fra:590 Mem:201.46M (Peak 201.46M) | Time:00:00.65 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_58
Fra:590 Mem:202.04M (Peak 202.04M) | Time:00:00.65 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_bgtree_59
Fra:590 Mem:202.62M (Peak 202.62M) | Time:00:00.65 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_0
Fra:590 Mem:203.02M (Peak 203.02M) | Time:00:00.65 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_1
Fra:590 Mem:203.54M (Peak 203.54M) | Time:00:00.65 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_2
Fra:590 Mem:204.18M (Peak 204.18M) | Time:00:00.66 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_3
Fra:590 Mem:204.58M (Peak 204.58M) | Time:00:00.66 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_4
Fra:590 Mem:205.10M (Peak 205.10M) | Time:00:00.66 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_5
Fra:590 Mem:205.74M (Peak 205.74M) | Time:00:00.66 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_6
Fra:590 Mem:206.35M (Peak 206.35M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_7
Fra:590 Mem:206.87M (Peak 206.87M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_8
Fra:590 Mem:207.51M (Peak 207.51M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_9
Fra:590 Mem:207.91M (Peak 207.91M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_10
Fra:590 Mem:208.43M (Peak 208.43M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_11
Fra:590 Mem:209.07M (Peak 209.07M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_12
Fra:590 Mem:209.47M (Peak 209.47M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_13
Fra:590 Mem:209.99M (Peak 209.99M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_fern_14
Fra:590 Mem:210.64M (Peak 210.64M) | Time:00:00.68 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ENV_twig_0
